Prestador;Sigla do Prestador;Natureza jurídica;Natureza jurídica_b;Natureza jurídica_c
Prefeitura Municipal de Candeias;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Candiota;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Canguçu;PMCGU;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cantagalo;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Canudos;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Canudos do Vale;PMCV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Capão Bonito do Sul;PMCBS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caparaó;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Capela do Alto Alegre;PMCAA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Capela Nova;PMCN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Capitão;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Capitão Andrade;PMCA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Capivari de Baixo;PMCB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Capoeiras;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caputira;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caraá;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caracaraí;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caranaíba;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Carandaí;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Carapebus;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Carauari;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caraúbas;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caraúbas do Piauí;PMCP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cardoso Moreira;SOSP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Careaçu;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Carlos Barbosa;PMCB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Carmésia;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Carnaíba;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Carnauba dos Dantas;PMCD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Carvalhópolis;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cássia;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cassilândia;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Catas Altas;PMCA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Catuípe;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cedro;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cedro do Abaeté;PMCA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cerqueira César;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cerrito;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cerro Branco;PMCB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Chã Grande;PMCG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Chácara;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Chalé;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Chapada dos Guimarães;PMCG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Charrua;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Chiador;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cícero Dantas;PMCD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cipotânea;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Claraval;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Clementina;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cocal de Telha;DEMAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cocalinho;PMCO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Coivaras;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Colinas;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Colniza;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Colorado;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Comendador Gomes;PMCG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Conceição da Aparecida;PMCA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Conceição das Alagoas;PMCA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Conceição das Pedras;PMCP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Conceição de Ipanema;PMCI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Conceição do Rio Verde;PMCRV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Conceição dos Ouros;PMCO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Conchal;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Congonhas do Norte;PMCN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Conquista D'Oeste;PMCO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Consolação;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Coqueiro Baixo;PMCB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Coqueiros do Sul;PMCS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cordilheira Alta;PMCA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Coromandel;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Coronel Pilar;PMCP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Coronel Xavier Chaves;PMCXC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Córrego do Bom Jesus;PMCBJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Córrego Novo;PMCN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Correia Pinto;PMCP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Corumbataí;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Corupá;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Coruripe;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cosmópolis;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cotriguaçu;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Coxilha;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Coxixola;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cristais Paulista;PMCP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cristina;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Crucilândia;PMCRU;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cruzaltense;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cruzeiro da Fortaleza;PMCF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cruzeta;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cunha;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cuparaque;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cupira;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Delfim Moreira;PMDM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Delta;PMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Denise;PMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Deputado Irapuan Pinheiro;PMDIP;Autarquia;Pública;Pública
Prefeitura Municipal de Descalvado;SEMARH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Descoberto;PMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Desterro de Entre Rios;PMDER;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dezesseis de Novembro;PMDN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Diogo de Vasconcelos;PMDV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dionísio;PMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Divinésia;PMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Divisa Nova;PMDN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dobrada;PMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dois Irmãos;PMDI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dois Lajeados;PMDL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dom Aquino;PMDA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dom Cavati;PMDC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dom Feliciano;PMDF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dom Joaquim;PMDJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dom Pedro de Alcântara;PMDPA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dom Silvério;PMDS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dom Viçoso;PMDV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dona Eusébia;PMDE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dores de Campos;PMDC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dores de Guanhães;PMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Dores do Rio Preto;PMDRP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Douradoquara;PMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Doutor Ricardo;PMDR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Durandé;PMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Elisiário;PME;Administração pública direta;Pública;Pública
Prefeitura Municipal de Engenheiro Caldas;PMEC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Engenho Velho;PMEV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Entre Rios;PMER;Administração pública direta;Pública;Pública
Prefeitura Municipal de Entre Rios de Minas;PMERM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Entre Rios do Oeste;PMERO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ernestina;PME;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ervália;PME;Administração pública direta;Pública;Pública
Prefeitura Municipal de Esperança do Sul;PMES;Administração pública direta;Pública;Pública
Prefeitura Municipal de Espigão D'Oeste;PMEO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Espírito Santo do Dourado;PMESD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Estiva Gerbi;PMEG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Estreito;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Estrela;PME;Administração pública direta;Pública;Pública
Prefeitura Municipal de Estrela Velha;SEMAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ewbank da Camara;PMEC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Exu;PME;Administração pública direta;Pública;Pública
Prefeitura Municipal de Fátima;PMF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Faxinal dos Guedes;PMFG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Felício dos Santos;PMFS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Felixlândia;PMF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Feliz Natal;PMFN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ferros;PMF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Flor do Sertão;PMFS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Floresta;PMF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Floresta Azul;PMFA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Florestal;PMF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Floriano Peixoto;PMFP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Forquetinha;PMF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Fortaleza de Minas;PMFM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Fortuna de Minas;PMFM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Francisco Macedo;PMFM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Franciscópolis;PMF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Frei Martinho;PMFM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Galvão;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Garibaldi;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Garruchos;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Garuva;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Gavião;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Gavião Peixoto;PMGP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Geminiano;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de General Carneiro;PMGC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Gentil;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Getulina;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Goiabeira;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Goianá;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Gonzaga;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Gouveia;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Governador Edison Lobão;PMGEL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Governador Lindenberg;PMGL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Gracho Cardoso;PMGC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Gramado dos Loureiros;PMGL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Gramado Xavier;PMGX;Administração pública direta;Pública;Pública
Prefeitura Municipal de Granito;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Granja;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guabiju;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guaiçara;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guaimbê;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guajará;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guamaré;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guapiaçu;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guaporé;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guaraci;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guaramirim;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guaranésia;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guarantã;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guararapes;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guarinos;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guatapará;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Guidoval;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Gurinhatã;PMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Harmonia;PMH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Heliodora;PMH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Herculândia;PMH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Herval;PMH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Herveiras;PMH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Humberto de Campos;PMHC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Iacanga;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Iapu;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ibarama;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ibaté;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ibertioga;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ibiam;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ibicuitinga;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ibimirim;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ibirapuitã;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ibitirama;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Iepê;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Igaraçu do Tietê;SAEIT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ijaci;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ilha Solteira;PMISA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ilicínea;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Imbé de Minas;PMIM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Imbituba;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Imigrante;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Indiana;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Indiavaí;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Inhambupe;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Inocência;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ipaba;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ipaporanga;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ipaussu;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ipeúna;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ipiranga do Sul;PMIS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Iracema;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Iracemápolis;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Iraí de Minas;PMIM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Irapuru;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Irará;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Irati;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Irupi;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itabaiana;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itabaianinha;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itacaré;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itaguaçu da Bahia;PMIB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itajobi;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itaju;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Italva;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itambé do Mato Dentro;PMIMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itamogi;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itanhandu;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itanhangá;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itanhém;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itanhomi;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itaocara;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itapajipe;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itapiranga;DEASI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itapissuma;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itapororoca;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itapuã do Oeste;PMIO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itapuí;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itarana;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itarantim;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itatiaia;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itatiaiuçu;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itatuba;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itaú de Minas;PMIM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itaúba;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itiquira;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itirapina;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itiruçu;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itueta;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itutinga;PMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jaçanã;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jaci;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jaciara;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jacinto Machado;PMJM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jacuí;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jacuizinho;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jáguaraçu;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jáguariúna;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Japaraíba;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jaramataia;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jardinópolis;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jari;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jeceaba;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jeremoabo;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jesuania;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de João Costa;PMJC;Administração pública direta;Pública;Pública
Prefeitura Municipal de João Ramalho;PMJR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Joaquim Felício;PMJF;Administração pública direta;Pública;Pública
Prefeitura Municipal de José Raydan;PMJR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jumirim;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Junco do Seridó;PMJS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Junqueirópolis;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Juruena;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Jussari;PMJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Kaloré;PMK;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lábrea;PML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lafaiete Coutinho;PMLC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lagamar;PML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lagoa do Mato;PMLM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lagoa do Piauí;PMLP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lagoa dos Três Cantos;PMLTC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lagoa Dourada;PMLD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lagoa Grande;PMLG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lagoinha do Piauí;PMLP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lajeado do Bugre;PMLB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lajeado Novo;PMLN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lajedão;PML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lamim;PML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Laranjal;PML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lavínia;PML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Leopoldina;PML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Lindóia;PML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Linha Nova;PMLN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Louveira;PML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Luís Antônio;PMLA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Luisburgo;PML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Macajuba;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Macambira;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Macatuba;SISAM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Macaubal;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Machacalis;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Macururé;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Madre de Deus de Minas;PMMDM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Major Sales;PMMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Manaíra;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Manicoré;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Maquiné;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mar de Espanha;PMME;Administração pública direta;Pública;Pública
Prefeitura Municipal de Maracaçumé;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Marajá do Sena;PMMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Marapoama;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Marau;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Maravilhas;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Maria da Fé;PMMF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Marilac;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mariluz;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mário Campos;PMMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Maripá de Minas;PMMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Marliéria;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Marmelópolis;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Martinópolis;DAEM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mascote;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Massaranduba;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mataraca;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Materlândia;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Matias Barbosa;PMMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Matinhas;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Matipó;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mato Leitão;PMML;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mato Queimado;PMMQ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Maturéia;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mendes;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mercedes;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mercês;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Milagres;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Minduri;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Miracema;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mirassolândia;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Moita Bonita;PMMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Monsenhor Paulo;PMMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Montauri;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Monte Alegre de Minas;PMMAM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Monte Alegre do Sul;PMMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Monte Alegre dos Campos;PMMAC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Monte Santo de Minas;PMMSM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mormaço;PMM;Administração pública direta;Pública;Pública
